Date,Clicks,Impressions,CTR,Position
2023-09-11,0,15,0%,24.6
2023-09-10,0,13,0%,33.15
2023-09-09,0,16,0%,39.06
2023-09-08,1,7,14.29%,32.86
2023-09-07,0,20,0%,23.95
2023-09-06,0,14,0%,23.93
2023-09-05,0,14,0%,36.29
2023-09-04,0,14,0%,31.14
2023-09-03,0,13,0%,37.92
2023-09-02,0,15,0%,43.13
2023-09-01,0,13,0%,36.31
2023-08-31,0,11,0%,30.18
2023-08-30,0,15,0%,21.93
2023-08-29,0,15,0%,27.73
2023-08-28,0,18,0%,19.67
2023-08-27,0,10,0%,27.2
2023-08-26,0,13,0%,42.38
2023-08-25,0,8,0%,31.62
2023-08-24,0,14,0%,30.14
2023-08-23,0,8,0%,40
2023-08-22,0,9,0%,40
2023-08-21,0,9,0%,34
2023-08-20,0,13,0%,43.62
2023-08-19,0,12,0%,37.58
2023-08-18,0,13,0%,33.15
2023-08-17,0,7,0%,52.14
2023-08-16,0,10,0%,24.5
2023-08-15,0,5,0%,16.2
2023-08-14,0,10,0%,36.5
2023-08-13,0,9,0%,34.44
2023-08-12,0,13,0%,30
2023-08-11,0,13,0%,30.23
2023-08-10,0,15,0%,21.93
2023-08-09,0,8,0%,29.88
2023-08-08,0,8,0%,28
2023-08-07,0,12,0%,35.83
2023-08-06,0,9,0%,32.44
2023-08-05,0,12,0%,43
2023-08-04,0,13,0%,24.92
2023-08-03,0,11,0%,22.09
2023-08-02,0,7,0%,37.71
2023-08-01,0,7,0%,34
2023-07-31,0,10,0%,46
2023-07-30,0,14,0%,39.93
2023-07-29,0,11,0%,35.18
2023-07-28,0,7,0%,40.29
2023-07-27,0,12,0%,29.92
2023-07-26,0,6,0%,38.5
2023-07-25,0,15,0%,32.4
2023-07-24,0,8,0%,33
2023-07-23,0,19,0%,35.16
2023-07-22,0,5,0%,50
2023-07-21,0,12,0%,24.67
2023-07-20,1,13,7.69%,28
2023-07-19,0,6,0%,38.33
2023-07-18,0,10,0%,44.6
2023-07-17,0,11,0%,26.82
2023-07-16,0,11,0%,28.36
2023-07-15,0,10,0%,34.2
2023-07-14,0,9,0%,49.89
2023-07-13,0,9,0%,42.67
2023-07-12,0,3,0%,45.33
2023-07-11,1,6,16.67%,33.5
2023-07-10,0,7,0%,22.86
2023-07-09,0,5,0%,37.2
2023-07-08,0,13,0%,23.62
2023-07-07,0,9,0%,37.89
2023-07-06,0,7,0%,25.57
2023-07-05,0,11,0%,31.73
2023-07-04,0,8,0%,21.88
2023-07-03,0,9,0%,39.44
2023-07-02,0,6,0%,41
2023-07-01,0,7,0%,33.57
2023-06-30,0,12,0%,31.58
2023-06-29,0,11,0%,23.55
2023-06-28,1,11,9.09%,28.64
2023-06-27,0,12,0%,41.42
2023-06-26,1,10,10%,25.1
2023-06-25,1,10,10%,37.4
2023-06-24,0,11,0%,32.82
2023-06-23,0,13,0%,42.23
2023-06-22,1,15,6.67%,42.73
2023-06-21,0,7,0%,33.43
2023-06-20,0,11,0%,23.09
2023-06-19,0,4,0%,22.5
2023-06-18,0,10,0%,41.8
2023-06-17,0,9,0%,38
2023-06-16,0,11,0%,33.55
2023-06-15,0,8,0%,30.12
2023-06-14,0,10,0%,36.2
2023-06-13,0,8,0%,51
2023-06-12,0,4,0%,38
2023-06-11,1,5,20%,30
2023-06-10,0,20,0%,18.2
2023-06-09,0,9,0%,34.33
2023-06-08,0,6,0%,35
2023-06-07,0,7,0%,33.57
2023-06-06,0,11,0%,21.64
2023-06-05,0,12,0%,22.75
2023-06-04,0,14,0%,39.36
2023-06-03,0,9,0%,21.22
2023-06-02,0,15,0%,23.67
2023-06-01,0,8,0%,39.5
2023-05-31,0,12,0%,19.75
2023-05-30,0,14,0%,22.93
2023-05-29,0,14,0%,28.93
2023-05-28,0,13,0%,31.15
2023-05-27,0,18,0%,29.78
2023-05-26,0,8,0%,30.25
2023-05-25,0,6,0%,34
2023-05-24,0,9,0%,42.89
2023-05-23,0,14,0%,33.86
2023-05-22,0,13,0%,38.31
2023-05-21,0,21,0%,35.1
2023-05-20,0,7,0%,39.86
2023-05-19,0,15,0%,27.27
2023-05-18,0,7,0%,25.14
2023-05-17,0,12,0%,22.17
2023-05-16,0,13,0%,33.62
2023-05-15,0,18,0%,35.83
2023-05-14,0,10,0%,21.2
2023-05-13,0,12,0%,29.67
2023-05-12,0,8,0%,25.75
2023-05-11,0,9,0%,26.11
2023-05-10,0,9,0%,22.56
2023-05-09,0,12,0%,34.83
2023-05-08,0,4,0%,24.75
2023-05-07,0,4,0%,34.5
2023-05-06,0,9,0%,24.44
2023-05-05,0,11,0%,23.36
2023-05-04,0,10,0%,16.3
2023-05-03,0,6,0%,27.33
2023-05-02,1,8,12.5%,25.88
2023-05-01,0,11,0%,25.36
2023-04-30,0,8,0%,24.88
2023-04-29,0,8,0%,24.75
2023-04-28,0,13,0%,33
2023-04-27,0,8,0%,27.62
2023-04-26,0,16,0%,30.25
2023-04-25,0,9,0%,35.44
2023-04-24,0,14,0%,28.29
2023-04-23,0,6,0%,29.83
2023-04-22,0,10,0%,30
2023-04-21,0,15,0%,23.47
2023-04-20,0,18,0%,18.11
2023-04-19,0,11,0%,27.55
2023-04-18,0,8,0%,45.62
2023-04-17,0,9,0%,29.56
2023-04-16,0,7,0%,32
2023-04-15,0,12,0%,31.25
2023-04-14,0,9,0%,28.78
2023-04-13,0,9,0%,29.33
2023-04-12,0,6,0%,31.33
2023-04-11,0,10,0%,25.7
2023-04-10,0,7,0%,30.71
2023-04-09,0,8,0%,31.38
2023-04-08,0,10,0%,30.9
2023-04-07,0,10,0%,31
2023-04-06,0,8,0%,34
2023-04-05,0,9,0%,27.78
2023-04-04,0,8,0%,33.12
2023-04-03,0,6,0%,32.33
2023-04-02,0,6,0%,36.33
2023-04-01,0,9,0%,38.11
2023-03-31,0,15,0%,28.87
2023-03-30,1,9,11.11%,15.22
2023-03-29,0,8,0%,36.62
2023-03-28,0,13,0%,20.69
2023-03-27,0,14,0%,34.5
2023-03-26,0,10,0%,33.9
2023-03-25,0,11,0%,31.55
2023-03-24,1,15,6.67%,19
2023-03-23,0,12,0%,28.42
2023-03-22,0,14,0%,30
2023-03-21,1,11,9.09%,22.64
2023-03-20,0,19,0%,24.68
2023-03-19,0,14,0%,22.07
2023-03-18,0,10,0%,27.7
2023-03-17,0,6,0%,29
2023-03-16,0,8,0%,31
2023-03-15,0,9,0%,26.89
2023-03-14,2,19,10.53%,22.42
2023-03-13,0,10,0%,41.8
2023-03-12,1,15,6.67%,30.47
2023-03-11,0,13,0%,30
2023-03-10,0,9,0%,32.56
2023-03-09,0,10,0%,30.3
2023-03-08,0,12,0%,26.42
2023-03-07,0,19,0%,35.63
2023-03-06,0,16,0%,28.69
2023-03-05,0,9,0%,38.78
2023-03-04,0,12,0%,24.25
2023-03-03,0,14,0%,23.64
2023-03-02,0,14,0%,28.43
2023-03-01,0,16,0%,33.06
2023-02-28,0,18,0%,21.67
2023-02-27,0,12,0%,35.83
2023-02-26,0,14,0%,21.86
2023-02-25,0,22,0%,23
2023-02-24,0,21,0%,16.86
2023-02-23,0,16,0%,30.81
2023-02-22,0,14,0%,29.14
2023-02-21,2,300,0.67%,30.09
2023-02-20,0,15,0%,25.73
2023-02-19,0,11,0%,34.91
2023-02-18,1,13,7.69%,36.54
2023-02-17,0,11,0%,33.91
2023-02-16,0,20,0%,26.15
2023-02-15,0,17,0%,25.06
2023-02-14,0,17,0%,28.59
2023-02-13,0,10,0%,31.2
2023-02-12,0,16,0%,31.25
2023-02-11,0,15,0%,37.13
2023-02-10,0,20,0%,33.05
2023-02-09,0,14,0%,23.43
2023-02-08,0,24,0%,21.25
2023-02-07,0,13,0%,50.23
2023-02-06,0,16,0%,30.25
2023-02-05,0,15,0%,28.73
2023-02-04,0,11,0%,41.64
2023-02-03,0,13,0%,38.85
2023-02-02,0,13,0%,41.92
2023-02-01,0,11,0%,41.36
2023-01-31,0,15,0%,37.4
2023-01-30,0,16,0%,31.25
2023-01-29,0,12,0%,32.58
2023-01-28,0,9,0%,28.44
2023-01-27,0,11,0%,39.55
2023-01-26,0,14,0%,35.93
2023-01-25,0,11,0%,27.45
2023-01-24,0,19,0%,25.74
2023-01-23,0,16,0%,21.12
2023-01-22,0,13,0%,37.92
2023-01-21,0,13,0%,41.38
2023-01-20,0,20,0%,49.45
2023-01-19,1,15,6.67%,23.4
2023-01-18,1,12,8.33%,39.42
2023-01-17,2,20,10%,20.55
2023-01-16,1,11,9.09%,30
2023-01-15,0,12,0%,47.33
2023-01-14,0,10,0%,36.6
2023-01-13,0,9,0%,33.78
2023-01-12,1,16,6.25%,20.94
2023-01-11,0,11,0%,25.73
2023-01-10,0,8,0%,33.12
2023-01-09,1,12,8.33%,28.25
2023-01-08,0,9,0%,32
2023-01-07,0,5,0%,43
2023-01-06,0,12,0%,30.83
2023-01-05,0,9,0%,42.78
2023-01-04,0,9,0%,47.44
2023-01-03,0,6,0%,43.33
2023-01-02,0,13,0%,30.31
2023-01-01,0,9,0%,36.11
